EGG NOODLES,280.0,300.0,330.0,300.0,280.0
SCHZWAN EGG NOODLES,300.0,320.0,350.0,320.0,300.0
CHICKEN NOODLES,300.0,320.0,350.0,320.0,300.0
BABY CORN MANCHURIAN,260.0,280.0,310.0,280.0,260.0
SCHZWAN CHICKEN NOODLES,320.0,340.0,370.0,340.0,320.0
WATER BOTTLE 1Ltr,25.0,30.0,30.0,25.0,25.0
BOILED CORN MASALA,220.0,240.0,270.0,240.0,220.0
BOILED CORN,200.0,220.0,250.0,220.0,200.0
COURIER NAPOLEAN RED 30ML,62.0,72.0,0.0,72.0,0.0
CHILLI BABY CORN,270.0,290.0,320.0,290.0,270.0
COURIER NAPOLEAN GREEN 30ML,78.0,88.0,0.0,88.0,0.0
KYRON RARE BRANDY 30ML,73.0,83.0,0.0,83.0,0.0
MORPHEUS XO BLENDED RESERVED 30ML,71.0,81.0,85.0,81.0,0.0
BLACK & GOLD VSOP 30ML,52.0,62.0,65.0,62.0,0.0
BOLS BRANDY 30ML,98.0,98.0,0.0,98.0,0.0
MANSION HOUSE 30ML,58.0,68.0,70.0,68.0,37.0
VEG BULLETS,220.0,240.0,270.0,240.0,220.0
MANSION HOUSE ORANGE 30ML,63.0,73.0,0.0,73.0,0.0
ZEUS BRANDY 30ML,103.0,103.0,0.0,103.0,0.0
STERLING RESERVE B7 30ML,59.0,69.0,0.0,69.0,0.0
SEGRAMS BLENDERS PRIDE 30ML,100.0,100.0,0.0,100.0,0.0
STERLING RESERVEB10 30ML,82.0,92.0,0.0,92.0,0.0
CRISPY BABY CORN,220.0,240.0,270.0,240.0,220.0
8PM PREMIUM BLACK 30ML,59.0,69.0,0.0,69.0,0.0
ARISTO PREMIUM SUPERIOR 30ML,78.0,78.0,0.0,78.0,0.0
TEACHERS HIGHLAND CREAM BLENDED 30ML,161.0,171.0,175.0,171.0,0.0
ROYAL STAG 30ML,61.0,71.0,75.0,71.0,0.0
WILLIAM LAWSONS BLENDED 30ML,145.0,155.0,160.0,155.0,0.0
100 PIPERS BLENDED 30ML,166.0,176.0,180.0,176.0,0.0
